duration,tenure_group,division,comprate,num_of_pay_raise,sex,ethnicity,mar_status,highest_educ_lvl,end_age_group,start_age_group,classification,pay_increase_ot,last_jobtitle_duration,emplid_sec,event
8,.under_1,Self Sufficiency,16.0067,1,F,,U,A,35_to_39,35_to_39,Staff,0.0,8.0,wop7wp_Cl8KEwqE=,V Termination
28,.under_1,Self Sufficiency,16.0067,1,F,,U,A,35_to_39,35_to_39,Staff,0.0,28.0,wop7wp_Cl8KDwqQ=,V Termination
1,.under_1,Self Sufficiency,19.5237,1,F,,U,A,45_to_49,45_to_49,Staff,0.0,1.0,wop7wp_Cl8KDwp8=,V Termination
29,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0.0,29.0,wop7wp_ClsKMwqA=,V Termination
8,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,8.0,wop7wp_ClsKLwqY=,V Termination
40,.under_1,Self Sufficiency,16.0067,1,F,,U,A,30_to_34,30_to_34,Staff,0.0,40.0,wop7wp_ClsKLwp0=,V Termination
6,.under_1,Children Services,27.8076,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,6.0,wop7wp_CksKKwqI=,V Termination
36,.under_1,Children Services,27.8076,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,36.0,wop6wqjClsKHwp8=,V Termination
56,.under_1,Children Services,27.8076,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,56.0,wop6wqfCmcKDwp8=,V Termination
21,.under_1,Adult Services,27.8076,1,U,NSPEC,U,A,55_to_59,55_to_59,Staff,0.0,21.0,wop6wqfCmMKGwqQ=,V Termination
70,.under_1,Self Sufficiency,19.1742,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0.0,70.0,wop6wqfCl8KDwqE=,V Termination
148,.under_1,Self Sufficiency,18.7559,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,148.0,wop6wqfClsKMwqI=,V Termination
197,.under_1,Children Services,18.29465,2,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0048413705583756315,99.0,wop6wqfClsKGwqM=,V Termination
177,.under_1,Children Services,16.887069,2,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.004973836158192101,177.0,wop6wqfClcKJwqQ=,V Termination
148,.under_1,Children Services,16.887069,2,M,NSPEC,U,A,45_to_49,45_to_49,Staff,0.005948439189189201,148.0,wop6wqfClcKJwp4=,IV Termination
5,.under_1,Adult Services,18.7559,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,5.0,wop6wqfClcKFwp0=,V Termination
121,.under_1,Adult Services,18.7559,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,121.0,wop6wqfClcKEwqY=,V Termination
126,.under_1,Self Sufficiency,16.887069,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0.0,126.0,wop6wqfClMKLwqI=,V Termination
190,.under_1,Adult Services,26.7381,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,190.0,wop6wqfClMKLwqA=,V Termination
124,.under_1,Self Sufficiency,16.887069,2,F,NSPEC,U,A,.under_29,.under_29,Staff,0.007099750000000014,124.0,wop6wqfClMKLwp8=,V Termination
30,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,30.0,wop6wqfClMKLwp0=,V Termination
13,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,40_to_44,40_to_44,Staff,0.0,13.0,wop6wqfClMKKwqM=,V Termination
125,.under_1,Self Sufficiency,16.887069,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,125.0,wop6wqfClMKKwqI=,V Termination
37,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,37.0,wop6wqfClMKJwqI=,V Termination
19,.under_1,Self Sufficiency,16.0067,1,F,,U,A,35_to_39,35_to_39,Staff,0.0,19.0,wop6wqfClMKIwqU=,V Termination
118,.under_1,Self Sufficiency,16.887069,2,F,,U,A,.under_29,.under_29,Staff,0.00746075423728815,118.0,wop6wqfClMKIwqQ=,V Termination
183,.under_1,Children Services,18.7559,1,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,183.0,wop6wqfClMKHwqU=,V Termination
138,.under_1,Self Sufficiency,20.597504,2,M,NSPEC,U,A,35_to_39,35_to_39,Staff,0.007781188405797095,138.0,wop6wqfClMKHwqQ=,V Termination
30,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,35_to_39,35_to_39,Staff,0.0,30.0,wop6wqfClMKHwp8=,V Termination
25,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,25.0,wop6wqfClMKHwp0=,V Termination
205,.under_1,Children Services,26.7381,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,205.0,wop6wqfCksKFwqA=,V Termination
138,.under_1,Children Services,25.7097,1,F,HISPA,U,A,.under_29,.under_29,Staff,0.0,138.0,wop6wqfCksKEwqE=,V Termination
79,.under_1,Children Services,26.7381,1,F,NSPEC,U,A,40_to_44,40_to_44,Staff,0.0,79.0,wop6wqfCksKDwqM=,V Termination
184,.under_1,Adult Services,31.2798,1,F,NSPEC,U,A,45_to_49,45_to_49,Staff,0.0,184.0,wop6wqfCksKDwqE=,V Termination
120,.under_1,Children Services,26.7381,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0.0,120.0,wop6wqfCksKDwp8=,IV Termination
